Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""home_page/search_field""), backlog, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:41,2021-01-11 17:26:42,0.565s,PASSED
"submit(findTestObject(""home_page/search_field""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:42,2021-01-11 17:26:44,2.315s,PASSED
"verifyElementPresent(findTestObject(""issue_page/add_subtask""), 3, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:44,2021-01-11 17:26:45,0.675s,PASSED
"click(findTestObject(""issue_page/add_subtask""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:45,2021-01-11 17:26:46,1.505s,PASSED
"waitForElementPresent(findTestObject(""issue_page/wrapper_issue""), 3, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:46,2021-01-11 17:26:47,0.474s,PASSED
"selectOptionByLabel(findTestObject(""issue_page/tracker/tracker_global""), tracker, false, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:47,2021-01-11 17:26:47,0.546s,PASSED
"click(findTestObject(""issue_page/tracker/feature_tracker""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:47,2021-01-11 17:26:47,0.000s,NOT_RUN
"delay(5, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:47,2021-01-11 17:26:52,5.002s,PASSED
"setText(findTestObject(""issue_page/subject_issue""), subject, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:52,2021-01-11 17:26:53,0.595s,PASSED
"setText(findTestObject(""issue_page/description_issue""), description, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:53,2021-01-11 17:26:53,0.585s,PASSED
"selectOptionByLabel(findTestObject(""issue_page/assigne/assigne_global""), assigne, false, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:53,2021-01-11 17:26:54,0.765s,PASSED
"selectOptionByLabel(findTestObject(""issue_page/targetversion/targetversion_global""), targetversion, false, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:54,2021-01-11 17:26:55,0.548s,PASSED
"click(findTestObject(""issue_page/assigne/reza""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:55,2021-01-11 17:26:55,0.001s,NOT_RUN
"click(findTestObject(""issue_page/targetversion/oneID""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:55,2021-01-11 17:26:55,0.001s,NOT_RUN
"setText(findTestObject(""issue_page/estimated_time""), estimated, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:55,2021-01-11 17:26:55,0.573s,PASSED
"selectOptionByLabel(findTestObject(""issue_page/storypoints/storypoint_global""), storypoint, false, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:55,2021-01-11 17:26:56,0.819s,FAILED
"click(findTestObject(""issue_page/storypoints/sp1""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:56,2021-01-11 17:26:56,0.001s,NOT_RUN
"click(findTestObject(""issue_page/create_btn""), CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:56,2021-01-11 17:26:56,0.000s,NOT_RUN
"verifyElementPresent(findTestObject(""issue_page/wrapper_tracker""), 3, CONTINUE_ON_FAILURE)",Chrome 87.0.4280.141,,,2021-01-11 17:26:56,2021-01-11 17:26:56,0.001s,NOT_RUN
closeBrowser(CONTINUE_ON_FAILURE),Chrome 87.0.4280.141,,,2021-01-11 17:26:56,2021-01-11 17:26:56,0.000s,NOT_RUN
